Author,Published Date,Title,Text,Title_without_stopwords,Text_without_stopwords,Language,Site_url,Main_img_url,Type,Label,hasImage
MarketWatch,2022-9-10,"Dow's 130-point jump highlighted by gains in Chevron, Coca-Cola shares","Behind positive momentum for shares of Chevron and Coca-Cola, the Dow Jones 
Industrial Average is up Friday morning. Shares of Chevron and...","Dow 's 130-point jump highlighted gains Chevron , Coca-Cola shares","Behind positive momentum shares Chevron Coca-Cola , Dow Jones Industrial Average Friday morning . Shares Chevron ...",English,https://www.marketwatch.com/story/dow-s-130-point-jump-highlighted-by-gains-in-chevron-coca-cola-shares-01662126377,https://serpapi.com/searches/6312244636e6a9d9fae976de/images/3bf5f712e0d1da2b69d317bc7e63068154a6546f9b7a751a8b2be983bd5898ed.png,Unknown,Unknown,True
KALB,2022-9-11,"Coca-Cola driver safe after being briefly taken by two armed suspects, police also search for a second stolen vehicle","ALEXANDRIA, La. (KALB) - The Alexandria Police Department said a Coca-Cola 
truck driver is safe after he and his truck were briefly taken by...","Coca-Cola driver safe briefly taken two armed suspects , police also search second stolen vehicle","ALEXANDRIA , La . ( KALB ) - The Alexandria Police Department said Coca-Cola truck driver safe truck briefly taken ...",English,https://www.kalb.com/2022/08/31/coca-cola-driver-safe-after-being-briefly-taken-by-two-armed-suspects-police-also-search-second-stolen-vehicle/,https://serpapi.com/searches/6312244636e6a9d9fae976de/images/3bf5f712e0d1da2bf444b2d65449721e2bb9b88183f8457bb2cf2f250dfabda2.jpeg,Unknown,Unknown,True
The A.V. Club,2022-9-11,"Justin H. Min, Sherry Cola, and Ally Maki join the cast of Randall Park's directorial feature debut Shortcomin","Randall Park's directorial feature debut has confirmed its cast after 
shooting earlier this summer. As reported by Variety, Shortcomings is...","Justin H. Min , Sherry Cola , Ally Maki join cast Randall Park 's directorial feature debut Shortcomin","Randall Park 's directorial feature debut confirmed cast shooting earlier summer . As reported Variety , Shortcomings ...",English,https://www.avclub.com/justin-h-min-sherry-cola-ally-maki-star-in-shortcomings-1849481429,https://serpapi.com/searches/6312244636e6a9d9fae976de/images/3bf5f712e0d1da2bcd94727b7507380632b54a5108f151793c4cadd2310e359c.jpeg,Unknown,Unknown,True
Marketing Dive,2022-9-11,Coca-Cola kicks off digitally driven World Cup campaign,"Coca-Cola launched a campaign around the FIFA World Cup 2022, per details 
shared with Marketing Dive. The “Believing is Magic” campaign...",Coca-Cola kicks digitally driven World Cup campaign,"Coca-Cola launched campaign around FIFA World Cup 2022 , per details shared Marketing Dive . The “ Believing Magic ” campaign ...",English,https://www.marketingdive.com/news/coca-cola-fifa-world-cup-campaign/630972/,https://serpapi.com/searches/6312244636e6a9d9fae976de/images/3bf5f712e0d1da2b2e8e2f9f8d392fa15401adcd5a03e8556910d1f8d1443236.jpeg,Unknown,Unknown,True
CNET,2022-9-8,How Much Could Social Security Benefits Go Up in 2023?,"Ongoing inflation means the cost-of-living-increase for Social Security 
could be the biggest in four decades.",How Much Could Social Security Benefits Go Up 2023 ?,Ongoing inflation means cost-of-living-increase Social Security could biggest four decades .,English,https://www.cnet.com/personal-finance/how-much-could-social-security-benefits-go-up-in-2023/,https://serpapi.com/searches/6312244636e6a9d9fae976de/images/3bf5f712e0d1da2bdb1d4383d2fe1ebafb3fef029787e9f90db7621a79022935.jpeg,Unknown,Unknown,True
CNBC,2022-8-11,"Here are Wednesday's biggest analyst calls: Apple, Snap, Robinhood, Coca-Cola, PayPal & more","Here are Wednesday's biggest analyst calls: Apple, Snap, Robinhood, 
Coca-Cola, PayPal & more. Published Wed, Aug 31 20228:45 AM EDT Updated 
Moments Ago.","Here Wednesday 's biggest analyst calls : Apple , Snap , Robinhood , Coca-Cola , PayPal &","Here Wednesday 's biggest analyst calls : Apple , Snap , Robinhood , Coca-Cola , PayPal & . Published Wed , Aug 31 20228:45 AM EDT Updated Moments Ago .",English,https://www.cnbc.com/2022/08/31/wednesday-top-analyst-calls-apple-snap-robinhood-coca-cola-paypal.html,https://serpapi.com/searches/6312244636e6a9d9fae976de/images/3bf5f712e0d1da2b2f9db77f82d5a021b402f31663b8112af3cd3f666649a7e0.jpeg,Unknown,Unknown,True
MarketWatch,2022-9-11,How big a Social Security COLA can retirees expect in 2023?,"The time has come to speculate about Social Security's cost-of-living 
adjustment (COLA) for 2023. Automatic indexing of benefits to keep up...",How big Social Security COLA retirees expect 2023 ?,The time come speculate Social Security 's cost-of-living adjustment ( COLA ) 2023 . Automatic indexing benefits keep ...,English,https://www.marketwatch.com/story/how-big-a-social-security-cola-can-retirees-expect-in-2023-11661615640,https://serpapi.com/searches/6312244636e6a9d9fae976de/images/3bf5f712e0d1da2b914a5d9bafab692b0477303087b316c883ca63d4c22935db.jpeg,Unknown,Unknown,True
Variety,2022-8-11,"Randall Park’s Directorial Debut ‘Shortcomings’ to Star Justin H. Min, Sherry Cola and Ally Maki (EXCLUSIVE)","Randall Park has cast Justin H. Min, Sherry Cola and Ally Maki to star in 
his directorial debut ""Shortcomings.""","Randall Park ’ Directorial Debut ‘ Shortcomings ’ Star Justin H. Min , Sherry Cola Ally Maki ( EXCLUSIVE )","Randall Park cast Justin H. Min , Sherry Cola Ally Maki star directorial debut `` Shortcomings . ''",English,https://variety.com/2022/film/news/randall-park-shortcomings-cast-justin-h-min-sherry-cola-ally-maki-1235354742/,https://serpapi.com/searches/6312244636e6a9d9fae976de/images/3bf5f712e0d1da2bbb7576ab1d9aa35f52d8e98c1b3472299ee7632750b4cf4d.jpeg,Unknown,Unknown,True
MSN,2022-8-11,How big a Social Security COLA can retirees expect in 2023?,"The time has come to speculate about Social Security's cost-of-living 
adjustment (COLA) for 2023. Automatic indexing of benefits to keep up...",How big Social Security COLA retirees expect 2023 ?,The time come speculate Social Security 's cost-of-living adjustment ( COLA ) 2023 . Automatic indexing benefits keep ...,English,https://www.msn.com/en-us/money/retirement/how-big-a-social-security-cola-can-retirees-expect-in-2023/ar-AA11gteL?li=BBnb7Kz,https://serpapi.com/searches/6312244636e6a9d9fae976de/images/3bf5f712e0d1da2bed1511aa5187ba158c62e81c8d709691f5aecd8557b46f38.jpeg,Unknown,Unknown,True
Reuters,2022-8-11,Coca-Cola bottler starts making 'Dobry Cola' in Russia,"Coca Cola HBC AG has started making a local cola, Dobry Cola, in Russia 
after stopping production and sales of Coca-Cola Co products...",Coca-Cola bottler starts making 'Dobry Cola ' Russia,"Coca Cola HBC AG started making local cola , Dobry Cola , Russia stopping production sales Coca-Cola Co products ...",English,https://www.reuters.com/markets/commodities/coca-cola-bottler-starts-making-dobry-cola-russia-2022-08-26/,https://serpapi.com/searches/6312244636e6a9d9fae976de/images/3bf5f712e0d1da2b4ee0a59d33390dfc7063c596dd8db99b9178c8f32465461a.jpeg,Unknown,Unknown,True
